产品类型,厚度下限,厚度上限,合格中值
A,7.0,12.0,9.5
B,12.0,20.0,16.0
C,12.0,20.0,16.0
D,12.0,20.0,16.0
E,8.0,12.0,10.0
F,8.0,12.0,10.0
G,6.0,10.0,8.0
H,15.0,18.0,16.5
I,15.0,20.0,17.5
J,4.0,7.0,5.5
K,6.0,8.0,7.0
L,8.0,12.0,10.0
M,12.0,20.0,16.0
N,10.0,14.0,12.0
O,12.0,20.0,16.0
